Región;Identificador;Provincia;Comuna
Arica y Parinacota;15;Arica;Arica
Arica y Parinacota;15;Arica;Camarones
Arica y Parinacota;15;Parinacota;General Lagos
Arica y Parinacota;15;Parinacota;Putre
Tarapacá;1;Iquique;Alto Hospicio
Tarapacá;1;Iquique;Iquique
Tarapacá;1;Tamarugal;Camiña
Tarapacá;1;Tamarugal;Colchane
Tarapacá;1;Tamarugal;Huara
Tarapacá;1;Tamarugal;Pica
Tarapacá;1;Tamarugal;Pozo Almonte
Antofagasta;2;Antofagasta;Antofagasta
Antofagasta;2;Antofagasta;Mejillones
Antofagasta;2;Antofagasta;Sierra Gorda
Antofagasta;2;Antofagasta;Taltal
Antofagasta;2;El Loa;Calama
Antofagasta;2;El Loa;Ollagüe
Antofagasta;2;El Loa;San Pedro de Atacama
Antofagasta;2;Tocopilla;María Elena
Antofagasta;2;Tocopilla;Tocopilla
Atacama;3;Chañaral;Chañaral
Atacama;3;Chañaral;Diego de Almagro
Atacama;3;Copiapó;Caldera
Atacama;3;Copiapó;Copiapó
Atacama;3;Copiapó;Tierra Amarilla
Atacama;3;Huasco;Alto del Carmen
Atacama;3;Huasco;Freirina
Atacama;3;Huasco;Huasco
Atacama;3;Huasco;Vallenar
Coquimbo;4;Choapa;Canela
Coquimbo;4;Choapa;Illapel
Coquimbo;4;Choapa;Los Vilos
Coquimbo;4;Choapa;Salamanca
Coquimbo;4;Elqui;Andacollo
Coquimbo;4;Elqui;Coquimbo
Coquimbo;4;Elqui;La Higuera
Coquimbo;4;Elqui;La Serena
Coquimbo;4;Elqui;Paihuano
Coquimbo;4;Elqui;Vicuña
Coquimbo;4;Limarí;Combarbalá
Coquimbo;4;Limarí;Monte Patria
Coquimbo;4;Limarí;Ovalle
Coquimbo;4;Limarí;Punitaqui
Coquimbo;4;Limarí;Río Hurtado
Valparaíso;5;Isla de Pascua;Isla de Pascua
Valparaíso;5;Los Andes;Calle Larga
Valparaíso;5;Los Andes;Los Andes
Valparaíso;5;Los Andes;Rinconada de Los Andes
Valparaíso;5;Los Andes;San Esteban
Valparaíso;5;Marga Marga;Limache
Valparaíso;5;Marga Marga;Olmué
Valparaíso;5;Marga Marga;Quilpué
Valparaíso;5;Marga Marga;Villa Alemana
Valparaíso;5;Petorca;Cabildo
Valparaíso;5;Petorca;La Ligua
Valparaíso;5;Petorca;Papudo
Valparaíso;5;Petorca;Petorca
Valparaíso;5;Petorca;Zapallar
Valparaíso;5;Quillota;Hijuelas
Valparaíso;5;Quillota;La Calera
Valparaíso;5;Quillota;La Cruz
Valparaíso;5;Quillota;Nogales
Valparaíso;5;Quillota;Quillota
Valparaíso;5;San Antonio;Algarrobo
Valparaíso;5;San Antonio;Cartagena
Valparaíso;5;San Antonio;El Quisco
Valparaíso;5;San Antonio;El Tabo
Valparaíso;5;San Antonio;San Antonio
Valparaíso;5;San Antonio;Santo Domingo
Valparaíso;5;San Felipe de Aconcagua;Catemu
Valparaíso;5;San Felipe de Aconcagua;Llaillay
Valparaíso;5;San Felipe de Aconcagua;Panquehue
Valparaíso;5;San Felipe de Aconcagua;Putaendo
Valparaíso;5;San Felipe de Aconcagua;San Felipe
Valparaíso;5;San Felipe de Aconcagua;Santa María
Valparaíso;5;Valparaíso;Casablanca
Valparaíso;5;Valparaíso;Concón
Valparaíso;5;Valparaíso;Juan Fernández
Valparaíso;5;Valparaíso;Puchuncaví
Valparaíso;5;Valparaíso;Quintero
Valparaíso;5;Valparaíso;Valparaíso
Valparaíso;5;Valparaíso;Viña del Mar
Libertador General Bernardo O'Higgins;6;Cachapoal;Codegua
